company,sector,cpc_code,n_total,quality_avg,quality_norm_avg,n_years,name_clean
ThyssenKrupp Automotive AG,Industrial,5,18,0.19936839,-0.95542854,7,thyssenkrupp automotive
"HAN'S LASER TECHNOLOGY INDUSTRY GROUP CO., LTD.",Technology,6,18,0.2977864,-1.184,4,han s laser industry
Claria Corporation,Technology,6,18,0.8036781,1.4725,6,claria
FERROTEC (USA) CORPORATION,Industrial,5,18,0.4509884,0.46600002,13,ferrotec usa
"Roger Cleveland Golf Company, Inc.",Life Sciences,0,18,0.6010508,1.0555,8,roger cleveland golf
Remington Holdings LLC,Life Sciences,0,18,0.3405975,-0.42344442,9,remington
Andritz-Ahlstrom Oy,Industrial,3,18,0.16328217,-1.24375,4,andritz ahlstrom oy
"OLATEC THERAPEUTICS, INC.",Life Sciences,0,18,0.28581753,-0.8973333,3,olatec therapeutics
Noranda Inc.,Life Sciences,2,18,0.38001648,0.24,6,noranda
"Duraswitch Industries, Inc.",Technology,7,18,0.48225993,-0.21371429,7,duraswitch industries
"Zensun (Shanghai) Science & Technology, Co., Ltd.",Life Sciences,0,18,0.53819126,0.31287503,8,zensun shanghai science
Zentiva K.S.,Life Sciences,2,18,0.103203334,-1.513,8,zentiva k s
ABB Offshore Systems Limited,Industrial,4,18,0.26194462,-0.55499995,5,abb offshore
Siced Electronics Development GmbH & Co. KG,Technology,7,18,0.36916372,-0.838,9,siced electronics development kg
Trapeze Software ULC,Technology,6,18,0.5655489,0.13975,4,trapeze software ulc
"HI-LEX CONTROLS, INC.",Industrial,4,18,0.4336752,0.32427272,11,hi lex controls
KELK Ltd.,Technology,7,18,0.28306583,-1.248,9,kelk
HERMES INNOVATIONS LLC,Life Sciences,0,18,0.8470733,1.5625,8,hermes innovations
Comair Rotron Inc.,Technology,7,18,0.46816707,-0.2809,10,comair rotron
HELMHOLTZ-ZENTRUM BERLIN FÜR MATERIALIEN UND ENERGIE GMBH,Technology,7,18,0.2646857,-1.33825,8,helmholtz zentrum berlin f r materialien und energie
HELMUT FISCHER GMBH INSTITUT FUER ELEKTRONIK UND MESSTECHNIK,Technology,6,18,0.29716584,-1.199,8,helmut fischer institut fuer elektronik und messtechnik
"Transpacific Plasma, LLC",Technology,7,18,0.49684533,-0.1638,5,transpacific plasma
"Bridgestone Bandag, LLC",Industrial,1,18,0.33566132,-0.41149998,6,bridgestone bandag
Skytap,Technology,6,18,0.7981889,1.286,6,skytap
Lonza Cologne GmbH,Life Sciences,2,18,0.30385855,-0.694625,8,lonza cologne
"Sicom, Inc.",Technology,7,18,0.6605606,0.79525,4,sicom
Siecor Corporation,Technology,6,18,0.4481116,-0.346,2,siecor
ABG Allgemeine Baumaschinen-Gesellschaft MBH,Industrial,4,18,0.2421393,-0.81454545,11,abg allgemeine baumaschinen gesellschaft mbh
"Rectorseal, LLC",Industrial,5,18,0.42568195,0.27199998,13,rectorseal
"Recursion Software, Inc.",Technology,6,18,0.6931831,0.9076667,6,recursion software
Rohs-Voigt Patentverwertungsgesellschaft mbH,Industrial,5,18,0.2946442,-0.344,7,rohs voigt patentverwertungsgesellschaft mbh
"Applied Molecular Evolution, Inc.",Life Sciences,2,18,0.3514148,-0.24722224,9,applied molecular evolution
HANNSTOUCH SOLUTION INCORPORATED,Technology,6,18,0.39450505,-0.7074,5,hannstouch solution incorporated
KONG INC.,Life Sciences,0,18,0.61993796,0.592125,8,kong
"Applied Voice & Speech Technologies, Inc.",Technology,7,18,0.60861725,0.383,11,applied voice speech
KOREA FOOD RESEARCH INSTITUTE,Life Sciences,0,18,0.22925894,-1.0866667,6,korea food research institute
"ABB T&D Technology, Ltd.",Technology,7,18,0.4633986,-0.34016666,6,abb t d
"Shire Laboratories, Inc.",Life Sciences,0,18,0.30985573,-0.14157143,7,shire laboratories
"ShockWatch, Inc.",Technology,6,18,0.62179977,0.429625,8,shockwatch
"Shocking Technologies, Inc.",Technology,7,18,0.85933983,1.6614001,5,shocking
Branch Banking and Trust Company,Technology,6,18,0.67813385,0.7315714,7,branch banking trust
Bravilor Holding B.V.,Life Sciences,0,18,0.2913719,-0.725625,8,bravilor holding b v
"Nite Glow Industries, Inc.",Life Sciences,0,18,0.4871562,0.2266,10,nite glow industries
Nitronex Corporation,Technology,7,18,0.81236905,1.5344286,7,nitronex
"Composite Technologies, LLC",Industrial,4,18,0.4782184,0.7365833,12,composite
Romark Laboratories L.C.,Life Sciences,0,18,0.39949152,-0.22918183,11,romark laboratories l c
"Mersana Therapeutics, Inc.",Life Sciences,0,18,0.62805086,0.588,6,mersana therapeutics
Theraclone Sciences Inc.,Life Sciences,2,18,0.41759497,-0.24542858,7,theraclone sciences
"Therma Corporation, Inc.",Industrial,1,18,0.3627593,0.09687501,8,therma
Rosen Products LLC,Industrial,1,18,0.48776823,1.20175,4,rosen products
"Raytheon Applied Signal Technology, Inc.",Technology,7,18,0.5580804,0.10714286,7,raytheon applied signal
EyeCue Vision Technologies Ltd.,Life Sciences,0,18,0.643136,0.74525,8,eyecue vision
"CAMFIL USA, INC.",Industrial,1,18,0.44740137,0.176,5,camfil usa
MAGNUM MAGNETICS CORPORATION,Technology,7,18,0.5515907,0.09725001,8,magnum magnetics
MAHA MASCHINENBAU HALDENWANG GMBH & CO. KG,Industrial,1,18,0.23267454,-0.8422222,9,maha maschinenbau haldenwang kg
"LoJack Operating Company, LP",Technology,6,18,0.60192627,0.37133336,6,lojack operating lp
"Lochinvar, LLC",Industrial,5,18,0.55008966,0.94858336,12,lochinvar
CAFFITALY SYSTEM S.P.A.,Life Sciences,0,18,0.43140298,-0.2516,5,caffitaly system s p a
Dorf Ketal Chemicals (India) Private Limited,Life Sciences,2,18,0.24828938,-0.95100003,7,dorf ketal chemicals india private
"MiiCs & Partners (Shenzhen) Co., Ltd.",Technology,6,18,0.29203853,-1.2185,2,miics partners shenzhen
Ross Video Limited,Technology,7,18,0.6514865,0.59922224,9,ross video
ArcSight Inc,Technology,7,18,0.8332804,1.5918,5,arcsight
H-TECH AG,Industrial,5,18,0.43565342,0.49300003,8,h tech
"KOYO MACHINE INDUSTRIES CO., LTD.",Industrial,1,18,0.2590663,-0.63872725,11,koyo machine industries
The Water Heater Industry Joint Research and Development Consortium,Industrial,5,18,0.4341463,0.6896,5,water heater industry joint research development consortium
"Express Scripts Strategic Development, Inc.",Technology,6,18,0.6158349,0.3975,2,express scripts strategic development
"Milkhaus Laboratory, Inc.",Life Sciences,0,18,0.19021499,-0.836625,8,milkhaus laboratory
Composite Panel Systems LLC,Industrial,4,18,0.848385,2.5002,5,composite panel
Tri-State Hospital Supply Corporation,Life Sciences,0,18,0.40160543,0.1805,8,tri state hospital supply
"TriCipher, Inc.",Technology,7,18,0.7667964,1.2822,5,tricipher
TriMed Inc.,Life Sciences,0,18,0.611959,0.7632,10,trimed
"Nippon Steel Materials Co., Ltd.",Industrial,1,18,0.22425935,-0.8887143,7,nippon steel materials
"Nippon Yusoki Co., Ltd.",Industrial,1,18,0.27655762,-0.46642855,7,nippon yusoki
"ELECTRIC MIRROR, LLC",Technology,6,18,0.5708426,0.178,7,electric mirror
ZBD DISPLAYS LIMITED,Technology,6,18,0.48136833,-0.2553333,9,zbd displays
"Bonutti IP, LLC",Life Sciences,0,18,0.7202571,1.658,3,bonutti ip
"Sococo, Inc.",Technology,7,18,0.8455594,1.5326667,3,sococo
LiveQoS Inc.,Technology,7,18,0.7241075,0.9206667,6,liveqos
"Soladigm, Inc.",Technology,6,18,0.5735766,0.23050001,4,soladigm
"Ameritech Services, Inc.",Technology,7,18,0.7045751,0.96654546,11,ameritech services
"HISENSE HIVIEW TECH CO., LTD.",Technology,6,18,0.44750875,-0.45100003,5,hisense hiview tech
Ruhrpumpen GmbH,Life Sciences,2,18,0.22321399,-0.996,8,ruhrpumpen
Russell Corporation,Life Sciences,0,18,0.4132738,0.27199998,5,russell
"Ardelyx, Inc.",Life Sciences,0,18,0.4782788,-0.039833326,6,ardelyx
"Concepts ETI, Inc.",Industrial,5,18,0.48083463,0.70666665,9,concepts eti
"Rally Manufacturing, Inc.",Technology,7,18,0.40268734,-0.68242854,7,rally manufacturing
MindPlay LLC,Technology,6,18,0.7902439,1.4483334,3,mindplay
"NinthDecimal, Inc.",Technology,7,18,0.78460884,1.232,3,ninthdecimal
OTOY INC.,Technology,6,18,0.61053264,0.358,6,otoy
ELKAY MANUFACTURING COMPANY,Industrial,4,18,0.47130817,0.7309,10,elkay manufacturing
ELKEM ASA,Life Sciences,2,18,0.13690826,-1.1297,10,elkem asa
"ADARE PHARMACEUTICALS, INC.",Life Sciences,0,18,0.67283195,0.74575,4,adare pharmaceuticals
ADC TECHNOLOGY INC.,Technology,7,18,0.45225534,-0.3880909,11,adc
"Obalon Therapeutics, Inc.",Life Sciences,0,18,0.8782767,1.6921428,7,obalon therapeutics
Radvision Ltd.,Technology,7,18,0.6236873,0.498,6,radvision
"The Research Foundation for Mental Hygiene, Inc",Life Sciences,2,18,0.15985489,-1.3000001,8,research foundation for mental hygiene
Conax Florida Corporation,Industrial,1,18,0.39531365,0.16075,8,conax florida
American Safety Razor,Industrial,1,18,0.38347554,0.28057143,7,american safety razor
Solvay Interox GmbH,Life Sciences,2,18,0.22423461,-0.5675,4,solvay interox
Board of Trustees Leland Stanford Jr University,Life Sciences,2,18,0.44994402,0.369,7,board of trustees leland stanford jr university
MAN B&W Diesel AG,Industrial,5,18,0.23054552,-0.7646667,9,man b w diesel
"Shenzhen Accompany Technology CO., LTD.",Technology,6,18,0.4896759,-0.23979998,5,shenzhen accompany
I.E.E. International Electronics & Engineering S.ar.l.,Industrial,1,18,0.3158085,-0.14000002,7,i e e electronics engineering s ar l
ADOCIA,Life Sciences,0,18,0.39122185,-0.37183332,6,adocia
"ADP Engineering Co., Ltd.",Technology,7,18,0.33226216,-1.0014,5,adp engineering
"ADREA, LLC",Technology,6,18,0.68254083,0.72080004,5,adrea
"ADT US Holdings, Inc.",Technology,6,18,0.7662431,1.1292,5,adt us
HÜBNER GmbH & Co. KG,Industrial,1,18,0.26075497,-0.8484,5,h bner kg
"ADVANCED BRAIN MONITORING, INC.",Life Sciences,0,18,0.7881834,1.6859001,10,advanced brain monitoring
Twinhead International Corporation,Technology,6,18,0.4316479,-0.48291668,12,twinhead
KAESSBOHRER GELAENDEFAHRZEUG AG,Industrial,4,18,0.25628942,-0.6981,10,kaessbohrer gelaendefahrzeug
"KAI PHARMACEUTICALS, INC.",Life Sciences,0,18,0.5592675,0.40489998,10,kai pharmaceuticals
"Ambion, Inc.",Life Sciences,2,18,0.26017034,-0.453875,8,ambion
Amdocs (Israel) Ltd.,Technology,7,18,0.751367,1.1847143,7,amdocs israel
Tuthill Corporation,Industrial,5,18,0.46644315,0.66499996,11,tuthill
RSR Limited,Life Sciences,2,18,0.2454005,-0.76944447,9,rsr
"RSUPPORT CO., LTD.",Technology,6,18,0.31823787,-1.0813333,6,rsupport
Minu L.L.C.,Life Sciences,0,18,0.4882696,0.4744286,7,minu l l c
"CARINGO, INC.",Technology,6,18,0.7880956,1.283,10,caringo
"Sonics & Materials, Inc.",Industrial,1,18,0.3264096,-0.20690909,11,sonics materials
"Blue Jeans Network, Inc.",Technology,7,18,0.7797916,1.1928333,6,blue jeans network
"Bluefin Labs, Inc.",Technology,6,18,0.7160241,0.8822857,7,bluefin labs
"Line 6, Inc",Technology,6,18,0.70190984,0.8849091,11,line 6
Blaw-Know Construction Equipment Corporation,Industrial,4,18,0.35351336,0.10483333,6,blaw know construction equipment
"YETI Coolers, LLC",Industrial,1,18,0.62342393,1.1505,4,yeti coolers
"YORKTOWN TECHNOLOGIES, L.P.",Life Sciences,0,18,0.46959123,-0.001333336,6,yorktown l p
Ocean Nutrition Canada Limited,Life Sciences,0,18,0.35795406,-0.21022221,9,ocean nutrition canada
"EM-TECH Co., Ltd.",Technology,7,18,0.39607295,-0.676625,8,em tech
ROVEMA-Verpackungsmaschinen GmbH,Industrial,1,18,0.238074,-0.7501111,9,rovema verpackungsmaschinen
"Meiloon Industrial Co., Ltd.",Technology,7,18,0.40412438,-0.66477776,9,meiloon industrial
The Research Foundation For Microbial Diseases of Osaka University,Life Sciences,2,18,0.100015394,-1.383,8,research foundation for microbial diseases of osaka university
SAINT-GOBAIN ADFORS,Life Sciences,2,18,0.2666788,-0.91716665,6,saint gobain adfors
"SAINT-GOBAIN ADFORS CANADA, LTD.",Industrial,4,18,0.46999845,0.3235,6,saint gobain adfors canada
EMCURE PHARMACEUTICALS LIMITED,Life Sciences,2,18,0.13983385,-1.3785,10,emcure pharmaceuticals
"Ocera Therapeutics, Inc.",Life Sciences,2,18,0.43929395,-0.14711112,9,ocera therapeutics
"Black Hills Media, LLC",Technology,6,18,0.89006966,1.7385,6,black hills media
Sortana LLC,Industrial,5,18,0.3601902,-0.1575,8,sortana
Direct Radiography Corp.,Technology,6,18,0.48657736,-0.20133333,6,direct radiography
ROLAND MEINL MUSIKINSTRUMENTE GMBH & CO. KG,Technology,6,18,0.19247845,-1.755625,8,roland meinl musikinstrumente kg
"ArrivalStar, Inc.",Technology,6,18,0.7963762,1.4782,5,arrivalstar
"Arsenal Medical, Inc.",Life Sciences,0,18,0.69643974,0.8455,4,arsenal medical
KURUME UNIVERSITY,Life Sciences,2,18,0.26952237,-0.79222226,9,kurume university
"Gregory A. Pearson, Inc.",Technology,6,18,0.6247634,0.43285713,7,gregory a pearson
"Griffin Analytical Technologies, L.L.C.",Technology,7,18,0.6031433,0.38625002,8,griffin analytical l l c
Grindmaster Corporation,Life Sciences,0,18,0.343017,-0.3478889,9,grindmaster
"SAKURA EIKI CO., LTD.",Technology,6,18,0.2198021,-1.5571,10,sakura eiki
ROLLS-ROYCE MARINE AS,Industrial,1,18,0.19502135,-1.1356,10,rolls royce marine as
"NexisVision, Inc.",Technology,6,18,0.9433926,2.0035,6,nexisvision
"ADVANCED INTERNATIONAL MULTITECH CO., LTD.",Life Sciences,0,18,0.3282825,-0.4922,10,advanced multitech
IPF Corporation,Technology,6,18,0.8519475,1.7185556,9,ipf
IRIDIUM SATELLITE LLC,Technology,7,18,0.59222823,0.27666667,3,iridium satellite
CARL ZEISS VISION AUSTALIA HOLDINGS LIMITED,Technology,6,18,0.3596671,-0.862375,8,carl zeiss vision austalia
GKN Driveline Japan Ltd.,Industrial,5,18,0.23022254,-1.0036666,6,gkn driveline japan
"Fulcrum Microsystems, Inc.",Technology,6,18,0.7267075,1.057375,8,fulcrum microsystems
"Mobius Microsystems, Inc.",Technology,7,18,0.8115451,1.4788,5,mobius microsystems
"U.S. Natural Resources, Inc.",Industrial,1,18,0.3268022,-0.23099999,10,u s natural resources
Alphora Research Inc.,Life Sciences,2,18,0.13437408,-1.383,9,alphora research
Alstom Power N.V.,Industrial,5,18,0.2426846,-0.701,4,alstom power n v
"UBUKATA INDUSTRIES CO., LTD.",Technology,7,18,0.47239,-0.2849091,11,ubukata industries
"Continental Automotive Canada, Inc.",Industrial,5,18,0.33518654,-0.1805,4,continental automotive canada
"Continental PET Technologies, Inc.",Industrial,1,18,0.42195997,0.6334,5,continental pet
"Mitsui Takeda Chemicals, Inc.",Life Sciences,2,18,0.12689364,-1.210125,8,mitsui takeda chemicals
RKF Engineering Solutions LLC,Technology,7,18,0.585231,0.23183334,6,rkf engineering solutions
"Sensus Spectrum, LLC",Technology,6,18,0.46074322,-0.37928572,7,sensus spectrum
EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,Life Sciences,2,18,0.34947243,-0.33862498,8,emergent product development gaithersburg
DigitalOptics Corporation International,Technology,6,18,0.72705305,1.0666363,11,digitaloptics
"Dimension One Spas, Inc.",Life Sciences,0,18,0.45539883,0.30114287,7,dimension one spas
"Digital Envoy, Inc.",Technology,6,18,0.8247873,1.5055,8,digital envoy
IRWIN SEATING COMPANY,Life Sciences,0,18,0.6281575,1.0164615,13,irwin seating
Green Hills Software LLC,Technology,6,18,0.8283296,1.4556667,9,green hills software
"SAN-EI KAGAKU CO., LTD.",Technology,7,18,0.17754652,-1.8226364,11,san ei kagaku
SANDEL AVIONICS INC.,Technology,6,18,0.5705632,0.22753845,13,sandel avionics
"Medora Environmental, Inc.",Industrial,1,18,0.5478258,0.866625,8,medora environmental
The Gorman-Rupp Company,Industrial,5,18,0.33576402,-0.14581819,11,gorman rupp
Kabushiki Kaisha Ekisho Sentan Gijutsu Kaihatsu Center,Technology,7,18,0.31867257,-1.0838572,7,kabushiki kaisha ekisho sentan gijutsu kaihatsu center
Medimetrics Personalized Drug Delivery,Life Sciences,0,18,0.59921473,0.5018334,6,medimetrics personalized drug delivery
"Mobius Imaging, LLC",Life Sciences,0,18,0.7654614,1.1738334,6,mobius imaging
Hyperchip Inc.,Technology,6,18,0.64064455,0.6225,8,hyperchip
"Digital Voice Systems, Inc.",Technology,6,18,0.75460327,1.2175,10,digital voice
GIMA S.p.A.,Industrial,1,18,0.32464847,-0.41871428,7,gima s p a
GKN Aerospace Sweden AB,Industrial,5,18,0.36923847,-0.26625,4,gkn aerospace sweden ab
CASCO PRODUCTS CORPORATION,Technology,7,18,0.5738859,0.22290908,11,casco products
"CATALINA MARKETING INTERNATIONAL, INC.",Technology,6,18,0.75597286,1.2964286,7,catalina marketing
MAX-DELBRÜCK-CENTRUM FÜR MOLEKULARE MEDIZIN IN DER,Life Sciences,2,18,0.17680413,-1.139091,11,max delbr ck centrum f r molekulare medizin in der
"Fuji Polymer Industries Co., Ltd.",Technology,7,18,0.23350032,-1.5302222,9,fuji polymer industries
MATERIALS MODIFICATION INC.,Life Sciences,0,18,0.6003522,0.8322727,11,materials modification
OnMobile Global Limited,Technology,7,18,0.5110155,-0.122,8,onmobile global
SANDVINE INCORPORATED ULC,Technology,7,18,0.62574756,0.45242858,7,sandvine incorporated ulc
"Aseko, Inc.",Technology,6,18,0.90715986,1.8310001,4,aseko
RHODIA POLIAMIDA E ESPECIALIDADES S.A.,Life Sciences,2,18,0.15647182,-1.3708571,7,rhodia poliamida e especialidades s a
UEI Cayman Inc.,Technology,6,18,0.60690475,0.369,8,uei cayman
HONDA PATENTS & TECHNOLOGIES NORTH AMERICA,Industrial,1,18,0.377783,-0.1782857,7,honda patents north america
RICH BRAND INDUSTRIES LIMITED,Technology,7,18,0.45617032,-0.4046,5,rich brand industries
"Control Devices, LLC",Technology,6,18,0.52163553,-0.011699992,10,control devices
"Converge Medical, Inc.",Life Sciences,0,18,0.8306083,2.6161427,7,converge medical
"Converged Data Solutions, Inc.",Technology,7,18,0.7984059,1.389625,8,converged data solutions
ISG Technologies,Industrial,1,18,0.37562573,0.11712499,8,isg
Differential Dynamics Corporation,Industrial,5,18,0.5046068,0.5945714,7,differential dynamics
Digene Corporation,Life Sciences,2,18,0.2663586,-0.43255556,9,digene
"CDGM GLASS CO., LTD",Life Sciences,2,18,0.23222755,-1.0735,6,cdgm glass
Fritz Gegauf Aktiengesellschaft Bernina-Nahmaschinenfabrik,Industrial,3,18,0.15371,-1.2965715,7,fritz gegauf aktiengesellschaft bernina nahmaschinenfabrik
"Frontier Wind, LLC.",Industrial,5,18,0.49202293,0.45825,4,frontier wind
"Selecta Biosciences, Inc.",Life Sciences,0,18,0.72019595,0.97583336,6,selecta biosciences
Texmag GmbH Vertriebsgesellschaft,Industrial,1,18,0.33043146,-0.35525,8,texmag vertriebsgesellschaft
AstraZeneca,Life Sciences,2,18,0.38358352,-0.2225,10,astrazeneca
Kann Manufacturing Corporation,Industrial,1,18,0.3574701,-0.14060001,10,kann manufacturing
"Cooper Automotive Products, Inc.",Industrial,1,18,0.54868853,1.74,2,cooper automotive products
"Everbrite, LLC",Industrial,5,18,0.5793615,1.4531,10,everbrite
AlliedSignal Truck Brake Systems Co.,Industrial,1,18,0.3500913,0.154,3,alliedsignal truck brake
"OpinionLab, Inc.",Technology,6,18,0.82987595,1.5560833,12,opinionlab
"ENERGY FOCUS, INC.",Technology,7,18,0.58064985,0.248,8,energy focus
AGC Automotive Americas Co.,Industrial,1,18,0.60080683,1.254625,8,agc automotive americas
Hydro Aluminium Deutschland GmbH,Life Sciences,2,18,0.17256223,-1.1714,10,hydro aluminium deutschland
"HydroCision, Inc.",Life Sciences,0,18,0.818301,1.9759091,11,hydrocision
"Opnext, Inc.",Technology,6,18,0.45810646,-0.340125,8,opnext
"NeuCo, Inc.",Industrial,5,18,0.6243143,1.516111,9,neuco
Optische Werke G. Rodenstock,Life Sciences,2,18,0.26715237,-0.3634,5,optische werke g rodenstock
FONDAZIONE CENTRO SAN RAFFAELE DEL MONTE TABOR,Life Sciences,2,18,0.23583344,-0.7205,10,fondazione centro san raffaele del monte tabor
Tervis Tumbler Company,Industrial,1,18,0.476819,0.3245,4,tervis tumbler
"At Road, Inc.",Technology,7,18,0.6379078,0.59400004,6,at road
"Tessenderlo Kerley, Inc.",Life Sciences,2,18,0.29745057,-0.5415556,9,tessenderlo kerley
"Grand Hall Enterprise Co., Ltd.",Industrial,5,18,0.27345487,-0.55054545,11,grand hall enterprise
REICHLE & DE-MASSARI AG,Technology,7,18,0.38307795,-0.76475,12,reichle de massari
RENOLD PLC,Industrial,5,18,0.27981663,-0.5950909,11,renold
Allen Engineering Corp.,Industrial,4,18,0.50346,0.8429,10,allen engineering
"Allergan Industrie, SAS",Life Sciences,0,18,0.73058987,1.0522858,7,allergan industrie
Xellia Pharmaceuticals ApS,Life Sciences,2,18,0.19429602,-1.1885713,7,xellia pharmaceuticals aps
"Hybrid Plastics, Incorporated",Life Sciences,2,18,0.28985006,-0.573375,8,hybrid plastics incorporated
CELENO COMMUNICATIONS (ISRAEL) LTD.,Technology,7,18,0.64213735,0.541625,8,celeno communications israel
MD ELEKTRONIK GMBH,Technology,7,18,0.35023102,-0.9156667,9,md elektronik
GLASSCRAFT DOOR COMPANY,Industrial,4,18,0.4426755,0.23483332,6,glasscraft door
Sedat,Life Sciences,0,18,0.35053217,-0.24222223,9,sedat
Optodot Corporation,Technology,7,18,0.60779667,0.3969,10,optodot
"OptumInsight, Inc.",Technology,6,18,0.72317505,0.9155,6,optuminsight
"HOYU CO., LTD.",Life Sciences,0,18,0.13767396,-1.4098333,6,hoyu
UNIVERSITETET I OSLO,Life Sciences,2,18,0.28326547,-0.83433336,6,universitetet i oslo
McDonnell Douglas Helicopter Company,Industrial,1,18,0.44039187,0.77140003,5,mcdonnell douglas helicopter
Telular Corporation,Technology,7,18,0.58904815,0.34236363,11,telular
Atomic Energy Council,Technology,7,18,0.3018725,-1.1426667,3,atomic energy council
"RECHI PRECISION CO., LTD.",Industrial,5,18,0.2663487,-0.6052222,9,rechi precision
"Johnson & Johnson Surgical Vision, Inc.",Life Sciences,0,18,0.67792565,0.723,1,johnson johnson surgical vision
"Dexter Magnetic Technologies, Inc.",Industrial,1,18,0.3522092,-0.04254545,11,dexter magnetic
Fresenius Kabi Oncology Ltd.,Life Sciences,2,18,0.23311943,-0.998,9,fresenius kabi oncology
Fresenius Vial SAS,Life Sciences,0,18,0.39578956,-0.24166666,9,fresenius vial
"SeaSpine, Inc.",Life Sciences,0,18,0.833669,1.6105715,7,seaspine
"Spectrum Spine IP Holdings, LLC",Life Sciences,0,18,0.68173236,0.8002001,5,spectrum spine ip
"Seamless Technologies, LLC",Industrial,1,18,0.70650536,1.8173333,6,seamless
"AIC Innovations Group, Inc.",Technology,6,18,0.7609353,1.1094999,4,aic innovations
XEDA INTERNATIONAL S.A.,Life Sciences,0,18,0.18077229,-1.0926,10,xeda s a
"XACT Downhole Telemetry, Inc.",Industrial,4,18,0.60307574,1.1654999,10,xact downhole telemetry
"AGRAQUEST, INC.",Life Sciences,2,18,0.19961022,-0.77442855,7,agraquest
Destiny Technology Corporation,Technology,6,18,0.43842122,-0.44837502,8,destiny
"OrthAlign, Inc.",Life Sciences,0,18,0.93593186,1.9667499,8,orthalign
"Den-Mat Holdings, LLC",Life Sciences,0,18,0.4203922,0.027833328,12,den mat
Center of Human-Centered Interaction for Coexistence,Technology,6,18,0.3764611,-0.796,5,center of human centered interaction for coexistence
"SCION NEUROSTIM, INC.",Life Sciences,0,18,0.7786026,1.2407143,7,scion neurostim
Mazor Robotics Ltd.,Life Sciences,0,18,0.7011671,0.914,7,mazor robotics
McCue Corporation,Industrial,4,18,0.40202016,0.14863636,11,mccue
"Key-Trak, Inc.",Technology,6,18,0.79677016,1.519,6,key trak
"Coravin, Inc.",Industrial,1,18,0.599695,1.037,5,coravin
Monteris Medical Corporation,Life Sciences,0,18,0.8308728,1.6043334,9,monteris medical
Monticello Enterprises LLC,Technology,6,18,0.8666036,1.6413332,3,monticello enterprises
"RAZA MICROELECTRONICS, INC.",Technology,7,18,0.6151274,0.468,5,raza microelectronics
UNIVERSITEIT ANTWERPEN,Technology,6,18,0.36079535,-0.8525,8,universiteit antwerpen
"Denon, Ltd.",Technology,6,18,0.3970315,-0.71360004,5,denon
"MEDAREX, L.L.C.",Life Sciences,2,18,0.5833252,0.449,3,medarex l l c
Bioness Inc.,Life Sciences,0,18,0.88591874,1.7252856,7,bioness
Bioniche Life Sciences Inc.,Life Sciences,0,18,0.31954747,-0.34736365,11,bioniche life sciences
Lernout & Hauspie Speech Products N.V.,Technology,6,18,0.67750484,0.90533334,3,lernout hauspie speech products n v
"Scram Technologies, Inc.",Technology,6,18,0.66021043,0.7163,10,scram
AIRBUS ENGINEERING CENTRE INDIA,Technology,6,18,0.3969205,-0.69820005,5,airbus engineering centre india
"Ideal Power Converters, Inc.",Technology,7,18,0.66011137,0.65,4,ideal power converters
Idelix Software Inc.,Technology,6,18,0.5748253,0.27420002,5,idelix software
Iggesund Tools AB,Industrial,1,18,0.29585063,-0.40654543,11,iggesund tools ab
"Morinda, Inc.",Life Sciences,0,18,0.24161729,-0.614875,8,morinda
"R&L Marketing & Sales, Inc.",Life Sciences,0,18,0.47467768,0.4404545,11,r l marketing sales
"Albion International, Inc.",Life Sciences,0,18,0.32073614,-0.24766667,9,albion
UPM-KYMMENE OYJ,Life Sciences,2,18,0.26233363,-0.6617,10,upm kymmene oyj
"Akustica, Inc.",Technology,7,18,0.5327089,0.021000005,9,akustica
R.W. Beckett Corporation,Industrial,5,18,0.526053,0.9240833,12,r w beckett
RADIANT INNOVATION INC.,Technology,6,18,0.33780622,-0.996,12,radiant innovation
RAPTOR PHARMACEUTICALS INC.,Life Sciences,2,18,0.42635956,-0.12825,8,raptor pharmaceuticals
Alembic Ltd.,Life Sciences,2,18,0.113073245,-1.314,8,alembic
"Jergens, Inc.",Industrial,1,18,0.46860293,0.6448182,11,jergens
Aladdin Knowledge Systems Ltd.,Technology,6,18,0.55821705,0.1751,10,aladdin knowledge
"USAI, LLC",Industrial,5,18,0.56389546,0.878625,8,usai
"USC, LLC",Life Sciences,0,18,0.4118187,-0.023272725,11,usc
USNR/KOCKUMS CANCAR COMPANY,Industrial,1,18,0.47672975,0.47587502,8,usnr kockums cancar
Japan as represented by Secretary of Agency of Industrial Science and Technology,Life Sciences,2,18,0.17281751,-0.8916,5,japan as represented by secretary of agency of industrial science
"Tecore, Inc.",Technology,7,18,0.7874529,1.2896364,11,tecore
"Auris Surgical Robotics, Inc.",Life Sciences,0,18,0.8150742,1.329,3,auris surgical robotics
"TeleTracking Technologies, Inc.",Technology,6,18,0.6308834,0.46514288,7,teletracking
"Keystone Technology Solutions, LLC",Technology,6,18,0.7992955,1.4005,4,keystone solutions
SEDUS STOLL AG,Life Sciences,0,18,0.2767352,-0.4505,8,sedus stoll
"World Emergency Network-Nevada, Ltd.",Technology,7,18,0.7830614,1.2132,5,world emergency network nevada
"CEMPRA PHARMACEUTICALS, INC.",Life Sciences,0,18,0.5651732,0.34271428,7,cempra pharmaceuticals
